test_pack,#iter,time,turn,pass,all_iter,all_time,clock_per_sec
1PC,226,1.925,1000,1000,1000000,-1915.27,1000
1PC,227,1.957,1000,1000,1000000,-1915.27,1000
1PC,228,1.986,1000,1000,1000000,-1915.27,1000
1PC,229,2.028,1000,1000,1000000,-1915.27,1000
1PC,230,1.929,1000,1000,1000000,-1915.27,1000
1PC,231,1.934,1000,1000,1000000,-1915.27,1000
1PC,232,1.926,1000,1000,1000000,-1915.27,1000
1PC,233,1.92,1000,1000,1000000,-1915.27,1000
1PC,234,1.944,1000,1000,1000000,-1915.27,1000
1PC,235,1.93,1000,1000,1000000,-1915.27,1000
1PC,236,1.929,1000,1000,1000000,-1915.27,1000
1PC,237,1.942,1000,1000,1000000,-1915.27,1000
1PC,238,1.924,1000,1000,1000000,-1915.27,1000
1PC,239,1.927,1000,1000,1000000,-1915.27,1000
1PC,240,1.937,1000,1000,1000000,-1915.27,1000
1PC,241,1.938,1000,1000,1000000,-1915.27,1000
1PC,242,1.937,1000,1000,1000000,-1915.27,1000
1PC,243,1.942,1000,1000,1000000,-1915.27,1000
1PC,244,1.926,1000,1000,1000000,-1915.27,1000
1PC,245,1.931,1000,1000,1000000,-1915.27,1000
1PC,246,1.94,1000,1000,1000000,-1915.27,1000
1PC,247,1.922,1000,1000,1000000,-1915.27,1000
1PC,248,1.933,1000,1000,1000000,-1915.27,1000
1PC,249,1.973,1000,1000,1000000,-1915.27,1000
1PC,250,1.942,1000,1000,1000000,-1915.27,1000
1PC,251,1.941,1000,1000,1000000,-1915.27,1000
1PC,252,1.943,1000,1000,1000000,-1915.27,1000
1PC,253,1.941,1000,1000,1000000,-1915.27,1000
1PC,254,1.937,1000,1000,1000000,-1915.27,1000
1PC,255,1.932,1000,1000,1000000,-1915.27,1000
1PC,256,1.926,1000,1000,1000000,-1915.27,1000
1PC,257,2.131,1000,1000,1000000,-1915.27,1000
1PC,258,2.484,1000,1000,1000000,-1915.27,1000
1PC,259,2.201,1000,1000,1000000,-1915.27,1000
1PC,260,2.165,1000,1000,1000000,-1915.27,1000
1PC,261,2.034,1000,1000,1000000,-1915.27,1000
1PC,262,2.143,1000,1000,1000000,-1915.27,1000
1PC,263,2.117,1000,1000,1000000,-1915.27,1000
1PC,264,2.29,1000,1000,1000000,-1915.27,1000
1PC,265,2.006,1000,1000,1000000,-1915.27,1000
1PC,266,2.275,1000,1000,1000000,-1915.27,1000
1PC,267,2.108,1000,1000,1000000,-1915.27,1000
1PC,268,1.906,1000,1000,1000000,-1915.27,1000
1PC,269,1.933,1000,1000,1000000,-1915.27,1000
1PC,270,1.938,1000,1000,1000000,-1915.27,1000
1PC,271,1.891,1000,1000,1000000,-1915.27,1000
1PC,272,1.953,1000,1000,1000000,-1915.27,1000
1PC,273,1.907,1000,1000,1000000,-1915.27,1000
1PC,274,1.884,1000,1000,1000000,-1915.27,1000
1PC,275,1.921,1000,1000,1000000,-1915.27,1000
1PC,276,1.891,1000,1000,1000000,-1915.27,1000
1PC,277,1.878,1000,1000,1000000,-1915.27,1000
1PC,278,1.897,1000,1000,1000000,-1915.27,1000
1PC,279,1.881,1000,1000,1000000,-1915.27,1000
1PC,280,1.967,1000,1000,1000000,-1915.27,1000
1PC,281,1.913,1000,1000,1000000,-1915.27,1000
1PC,282,1.884,1000,1000,1000000,-1915.27,1000
1PC,283,1.894,1000,1000,1000000,-1915.27,1000
